year,month,date,"longitude (degree: E+, W-)","latitude (degree: N+, S-)",Level 0 (pieces/m3),ratio (fragment<5 mm),Level 1 (pieces/m3),windspeed (m/s),significant wave height (m),Level 2p (pieces/km2),Level 2w1 (g/km2),Level 2w2 (g/km2),No. in Table 1
2001,10,12,-117.18,32.42,0.00864,0.83,0.00717,3.78,1.94,7160.0,169.0,4.6,1
2001,10,12,-117.18,31.54,0.0119,0.83,0.00988,3.49,2.06,9670.0,229.0,6.64,1
2001,10,12,-117.47,30.6,0.0,0.83,0.0,4.8,2.2,0.0,0.0,0.0,1
2001,10,14,-117.18,29.1,0.0,0.83,0.0,3.55,2.24,0.0,0.0,0.0,1
2001,10,15,-116.09,28.54,0.0,0.83,0.0,3.2,2.12,0.0,0.0,0.0,1
2001,10,15,-115.88,27.8,0.00108,0.83,0.000896,3.12,2.11,801.0,18.9,0.318,1
2001,10,16,-115.61,27.09,0.0,0.83,0.0,4.24,1.88,0.0,0.0,0.0,1
2001,10,17,-114.91,26.08,0.0,0.83,0.0,3.62,1.79,0.0,0.0,0.0,1
2001,10,17,-113.28,24.65,0.0,0.83,0.0,3.74,1.81,0.0,0.0,0.0,1
2001,10,19,-110.98,23.06,0.00108,0.83,0.000896,5.16,1.42,889.0,21.0,0.361,1
2001,10,20,-110.49,22.97,0.0,0.83,0.0,4.32,1.44,0.0,0.0,0.0,1
2001,10,20,-109.94,22.87,0.0054,0.83,0.00448,3.01,1.36,2480.0,58.8,1.26,1
2001,10,21,-110.11,24.29,0.0,0.83,0.0,0.0,1.13,0.0,0.0,0.0,1
2001,10,26,-109.92,24.52,0.00864,0.83,0.00717,5.18,0.0,3970.0,94.0,2.24,1
2001,10,26,-109.17,24.38,0.00108,0.83,0.000896,5.18,0.0,497.0,11.8,0.178,1
2001,10,27,-108.52,23.8,0.00216,0.83,0.00179,4.15,0.937,947.0,22.4,0.39,1
2001,10,27,-107.84,23.28,0.0054,0.83,0.00448,4.4,0.952,2550.0,60.3,1.31,1
2001,10,28,-107.6,22.47,0.0231,0.83,0.0192,3.18,0.856,7080.0,168.0,4.54,1
2001,10,29,-106.06,19.12,0.00108,0.83,0.000896,1.23,1.1,164.0,3.88,0.0459,1
